terra1,terra2,terra3,wina
R,B,D,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
G,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
,,U,1.0
R,B,D,1.0
R,M,,-1.0
F,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,0.0
R,M,,1.0
R,M,,1.0
F,M,,-1.0
G,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,-1.0
R,M,,1.0
R,M,,1.0
F,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
F,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,B,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,W,,1.0
R,M,,1.0
,,U,-1.0
R,M,,1.0
,,U,1.0
R,M,,1.0
R,M,,0.0
,,U,-1.0
R,M,,-1.0
R,M,,0.0
R,M,,1.0
R,M,,-1.0
R,W,,1.0
R,M,,1.0
F,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,-1.0
R,M,,-1.0
F,D,,1.0
F,D,,1.0
G,W,,-1.0
R,W,,-1.0
R,B,,-1.0
R,B,,-1.0
G,M,,-1.0
R,M,,-1.0
R,M,,1.0
G,M,,1.0
R,M,,1.0
G,M,,1.0
F,W,,1.0
R,M,,-1.0
R,W,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,0.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
G,M,,-1.0
,,U,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,-1.0
G,M,,-1.0
G,B,,-1.0
,,U,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
F,W,,1.0
R,M,,-1.0
R,M,,-1.0
F,M,,-1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,-1.0
F,M,,1.0
R,M,,-1.0
F,M,,1.0
R,M,,1.0
F,B,,1.0
F,B,,1.0
F,M,,1.0
F,M,,1.0
G,B,,-1.0
G,B,,-1.0
G,M,,1.0
G,B,,1.0
F,B,,1.0
R,M,,1.0
G,M,,1.0
R,B,,1.0
R,B,,-1.0
F,B,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
G,M,,-1.0
R,M,,-1.0
R,M,,-1.0
F,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
G,M,,-1.0
R,M,,-1.0
R,M,,-1.0
G,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,0.0
R,M,,-1.0
R,M,,0.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,W,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
G,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,W,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
F,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,0.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
G,W,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,B,,1.0
G,B,,1.0
R,B,,-1.0
G,B,,1.0
F,B,,1.0
F,B,,-1.0
F,B,,-1.0
R,M,,1.0
G,B,,1.0
F,M,,1.0
F,B,,-1.0
F,B,,-1.0
F,B,,-1.0
R,B,,-1.0
R,B,,-1.0
F,M,,0.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
G,M,,1.0
R,M,,-1.0
F,M,,-1.0
F,M,,1.0
G,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
G,M,,1.0
F,B,,1.0
F,B,,1.0
F,M,,1.0
F,M,,1.0
F,M,,1.0
F,M,,1.0
F,B,,-1.0
F,B,,-1.0
R,B,,-1.0
R,B,,-1.0
G,B,,1.0
G,B,,1.0
R,B,,1.0
R,B,,1.0
G,B,,-1.0
G,B,,-1.0
R,B,,-1.0
R,B,,-1.0
G,B,,-1.0
R,B,,-1.0
R,B,,0.0
R,B,,1.0
R,B,,1.0
R,M,,1.0
R,W,,1.0
R,M,,-1.0
R,M,,1.0
R,W,,-1.0
R,W,,-1.0
R,M,,1.0
F,M,,1.0
R,M,,1.0
R,M,,0.0
R,M,,-1.0
G,W,,-1.0
R,M,,0.0
R,M,,0.0
R,M,,1.0
R,M,,1.0
F,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,W,,-1.0
R,W,,-1.0
R,M,,-1.0
F,M,,-1.0
R,M,,-1.0
F,M,,0.0
R,M,,0.0
F,W,,1.0
F,W,,1.0
R,W,,1.0
R,W,,1.0
F,W,,1.0
F,W,,1.0
R,W,,1.0
R,W,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
G,M,,-1.0
G,M,,-1.0
R,M,,-1.0
R,M,,-1.0
G,M,,1.0
R,M,,1.0
F,M,,-1.0
F,M,,-1.0
F,M,,-1.0
F,M,,-1.0
F,M,,-1.0
F,M,,-1.0
F,M,,-1.0
F,M,,-1.0
R,M,,1.0
R,M,,1.0
G,M,,-1.0
G,M,,-1.0
G,M,,-1.0
G,M,,-1.0
G,M,,-1.0
G,M,,-1.0
G,M,,-1.0
G,M,,-1.0
G,B,,0.0
G,M,,0.0
G,B,,-1.0
G,M,,-1.0
F,B,,1.0
F,B,,1.0
F,M,,1.0
F,M,,1.0
F,M,,-1.0
F,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,0.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
R,M,,-1.0
R,M,,1.0
G,M,,-1.0
G,M,,1.0
G,M,,1.0
G,B,,1.0
G,B,,1.0
G,M,,1.0
G,M,,1.0
R,M,,0.0
R,M,,0.0
R,M,,-1.0
R,M,,-1.0
G,M,,1.0
G,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
G,B,,1.0
G,B,,1.0
G,B,,1.0
G,B,,1.0
G,B,,1.0
G,B,,1.0
G,M,,1.0
G,M,,1.0
F,B,,1.0
R,M,,-1.0
F,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,0.0
F,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,-1.0
R,M,,-1.0
R,M,,1.0
G,W,,0.0
R,M,,0.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,-1.0
G,W,,-1.0
G,W,,0.0
R,M,,-1.0
R,M,,-1.0
R,W,,-1.0
R,W,,-1.0
G,W,,1.0
R,M,,1.0
G,W,,1.0
R,M,,-1.0
G,W,,-1.0
G,W,,-1.0
G,W,,-1.0
G,W,,1.0
R,M,,1.0
,,U,1.0
R,M,,1.0
,,U,1.0
R,M,,1.0
,,U,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,W,,1.0
G,W,,1.0
G,W,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,W,,1.0
R,M,,0.0
R,M,,1.0
R,M,,1.0
G,W,,1.0
G,W,,1.0
R,M,,0.0
R,M,,0.0
G,M,,0.0
G,M,,0.0
R,M,,0.0
R,M,,0.0
G,M,,0.0
G,M,,0.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,B,,1.0
F,D,,-1.0
F,D,,-1.0
R,D,,-1.0
R,D,,-1.0
F,D,,1.0
F,D,,1.0
R,D,,1.0
R,D,,1.0
F,D,,1.0
F,D,,1.0
R,D,,1.0
R,D,,1.0
F,D,,1.0
F,D,,1.0
R,D,,1.0
R,D,,1.0
F,D,,1.0
F,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,-1.0
R,D,,-1.0
R,D,,-1.0
R,D,,-1.0
G,D,,-1.0
G,D,,-1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
F,M,,1.0
R,M,,1.0
F,M,,-1.0
F,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,-1.0
F,M,,1.0
R,M,,1.0
R,M,,1.0
F,M,,-1.0
F,M,,-1.0
R,M,,1.0
G,M,,-1.0
G,M,,-1.0
G,M,,-1.0
G,M,,-1.0
G,M,,1.0
G,M,,0.0
G,M,,-1.0
G,M,,1.0
G,M,,1.0
F,M,,1.0
F,M,,-1.0
F,M,,1.0
F,M,,1.0
F,M,,1.0
F,M,,-1.0
F,M,,0.0
F,M,,1.0
F,M,,-1.0
F,M,,-1.0
F,M,,1.0
R,M,,-1.0
R,M,,-1.0
G,B,,1.0
G,B,,1.0
G,B,,1.0
G,B,,1.0
G,B,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
F,M,,0.0
F,M,,0.0
F,M,,1.0
F,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,0.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,B,,0.0
R,M,,1.0
F,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,1.0
R,M,,-1.0
R,M,,0.0
R,M,,0.0
R,M,,1.0
R,M,,1.0
R,M,,0.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
G,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,0.0
R,M,,1.0
R,M,,1.0
R,M,,0.0
G,M,,1.0
R,M,,1.0
R,M,,0.0
G,M,,0.0
R,M,,-1.0
R,M,,1.0
R,W,,1.0
R,M,,1.0
F,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
F,W,,1.0
F,W,,1.0
F,W,,1.0
F,M,,1.0
F,M,,1.0
F,M,,1.0
F,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
F,M,,1.0
F,M,,1.0
F,M,,1.0
F,M,,1.0
R,M,,1.0
,,U,1.0
F,W,M,1.0
F,M,,1.0
F,M,,1.0
R,M,,1.0
R,M,,1.0
F,W,,1.0
F,W,,1.0
F,M,,1.0
F,M,,-1.0
F,M,,1.0
F,M,,1.0
F,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
R,M,,1.0
,,M,1.0
,,M,1.0
R,,,0.0
R,,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,B,,1.0
G,B,,1.0
G,B,,1.0
R,B,,1.0
F,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
F,B,,1.0
F,B,,1.0
G,M,,1.0
F,B,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,-1.0
R,M,,-1.0
G,M,,-1.0
R,M,,-1.0
G,M,,-1.0
G,M,,-1.0
R,M,,-1.0
R,M,,-1.0
G,M,,-1.0
R,M,,-1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,-1.0
G,M,,-1.0
G,M,,1.0
R,M,,1.0
G,M,,0.0
G,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
G,M,,1.0
R,M,,1.0
G,M,,1.0
R,M,,-1.0
G,M,,-1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,1.0
R,M,,1.0
G,M,,1.0
G,M,,1.0
R,M,,0.0
G,M,,0.0
R,M,,0.0
G,M,,0.0
R,M,,1.0
G,M,,1.0
R,M,,1.0
G,M,,1.0
R,M,,0.0
G,M,,0.0
G,M,,1.0
G,M,,1.0
G,M,,1.0
G,M,,1.0
G,M,,1.0
G,M,,1.0
F,M,,1.0
F,M,,1.0
F,D,,1.0
F,D,,1.0
F,D,,1.0
F,D,,1.0
R,D,,1.0
R,D,,1.0
F,D,,1.0
F,D,,1.0
R,D,,1.0
R,D,,1.0
F,M,,1.0
F,M,,1.0
F,D,,1.0
F,D,,1.0
F,D,,0.0
F,D,,0.0
R,D,,0.0
R,D,,0.0
F,M,,1.0
F,M,,1.0
F,D,,1.0
F,D,,1.0
F,D,,1.0
F,D,,1.0
R,D,,1.0
R,D,,1.0
F,D,,-1.0
F,D,,-1.0
F,M,,-1.0
F,M,,-1.0
F,D,,1.0
F,D,,1.0
F,M,,1.0
F,M,,1.0
F,D,,1.0
F,D,,1.0
R,D,,1.0
R,D,,1.0
F,D,,-1.0
F,D,,-1.0
F,M,,-1.0
F,M,,-1.0
G,M,,1.0
G,M,,1.0
G,M,,1.0
F,M,,0.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,-1.0
R,D,,-1.0
R,D,,-1.0
R,D,,-1.0
R,D,,-1.0
R,D,,-1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,-1.0
R,D,,-1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,1.0
R,D,,-1.0
R,D,,-1.0
,,U,-1.0
,,U,-1.0
R,D,,1.0
R,D,,1.0
G,B,,0.0
R,B,,0.0
G,B,,-1.0
R,B,,-1.0
G,B,,1.0
R,B,,1.0
G,B,,-1.0
R,B,,-1.0
G,B,,-1.0
R,B,,-1.0
G,B,,1.0
R,B,,1.0
G,B,,1.0
R,B,,1.0
G,B,,-1.0
G,M,,-1.0
R,M,,1.0
G,B,,1.0
G,B,,1.0
R,B,,1.0
G,B,,-1.0
R,B,,-1.0
G,B,,1.0
R,B,,1.0
G,B,,-1.0
R,B,,-1.0
G,B,,-1.0
R,B,,-1.0
G,M,,-1.0
G,M,,1.0
F,B,,1.0
G,B,,1.0
F,B,,-1.0
G,B,,-1.0
G,B,,1.0
F,B,,-1.0
F,M,,-1.0
F,B,,-1.0
F,M,,-1.0
F,B,,-1.0
F,M,,-1.0
F,B,,-1.0
F,M,,-1.0
F,B,,-1.0
G,B,,-1.0
F,B,,1.0
F,B,,-1.0
R,M,,-1.0
G,M,,-1.0
R,M,,-1.0
G,M,,-1.0
G,W,,-1.0
R,W,,-1.0
R,W,,1.0
G,W,,1.0
R,B,,-1.0
R,M,,-1.0
G,W,,1.0
R,M,,1.0
G,W,,1.0
R,M,,1.0
G,W,,1.0
G,W,,1.0
G,W,,1.0
G,,,1.0
F,B,,-1.0
F,M,,1.0
F,M,,-1.0
R,B,,-1.0
G,M,,1.0
G,M,,1.0
G,M,,1.0
F,M,,1.0
R,D,,1.0
F,M,,1.0
R,B,,1.0
F,B,,1.0
F,B,,1.0
F,B,,-1.0
F,B,,1.0
F,B,,1.0
F,,U,1.0
F,M,,1.0
G,M,,0.0
R,B,,-1.0
R,M,,1.0
R,M,,1.0
R,M,,-1.0
R,M,,0.0
